;;;;
Биржевая облигация;exchange_bond;RU000A103RW6;СберИОС473;СберИОС 001Р-473R 7Г СШАМ ИНД;RUB;RU000A103RW6
Биржевая облигация;exchange_bond;RU000A103TL5;СберИОС409;СберИОС 001Р-409R 5Г IMOEX;RUB;RU000A103TL5
Биржевая облигация;exchange_bond;RU000A103TN1;СберИОС418;СберИОС 001Р-418R 5Г SPX;RUB;RU000A103TN1
Биржевая облигация;exchange_bond;RU000A103UP4;СберИОС476;СберИОС 001Р-476R 5Г ТЕХ;RUB;RU000A103UP4
Биржевая облигация;exchange_bond;RU000A103UQ2;СберИОС477;СберИОС 001Р-477R 5Г SPX;RUB;RU000A103UQ2
Биржевая облигация;exchange_bond;RU000A103UR0;СберИОС478;СберИОС 001Р-478R 5Г IMOEX;RUB;RU000A103UR0
Биржевая облигация;exchange_bond;RU000A103VP2;СберИОС479;СберИОС 001Р-479R 5Г РБЧ-М;RUB;RU000A103VP2
Биржевая облигация;exchange_bond;RU000A103VQ0;СберИОС480;СберИОС 001Р-480R 7Г СШАМ ИНД;RUB;RU000A103VQ0
Биржевая облигация;exchange_bond;RU000A103X90;СберИОС481;СберИОС 001Р-481R 5Г РБЧ-М;RUB;RU000A103X90
Биржевая облигация;exchange_bond;RU000A103Y16;СберИОС482;СберИОС 001Р-482R 5Г ТЕХ;RUB;RU000A103Y16
Биржевая облигация;exchange_bond;RU000A103Y40;СберИОС484;СберИОС 001Р-484R 5Г SPX;RUB;RU000A103Y40
Биржевая облигация;exchange_bond;RU000A103Y57;СберИОС485;СберИОС 001Р-485R 5Г IMOEX;RUB;RU000A103Y57
Биржевая облигация;exchange_bond;RU000A103ZJ6;СберИОС486;СберИОС 001Р-486R 7Г РБЧ-М;RUB;RU000A103ZJ6
Биржевая облигация;exchange_bond;RU000A102FQ5;Сбер Sb20R;Сбербанк ПАО 001Р-SBER20;RUB;RU000A102FQ5
Биржевая облигация;exchange_bond;RU000A1040J7;Сбер Sb38R;Сбербанк ПАО 001Р-SBER38;RUB;RU000A1040J7
Биржевая облигация;exchange_bond;RU000A1040T6;СберИОС488;СберИОС 001Р-488R 5Г ТЕХ;RUB;RU000A1040T6
Биржевая облигация;exchange_bond;RU000A1040U4;СберИОС489;СберИОС 001Р-489R 5Г ИФН;RUB;RU000A1040U4
Биржевая облигация;exchange_bond;RU000A1040Y6;Сбер Sb39R;Сбербанк ПАО 001Р-SBER39;RUB;RU000A1040Y6
Биржевая облигация;exchange_bond;RU000A1041M9;СберИОС490;СберИОС 001Р-490R 5Г SPX;RUB;RU000A1041M9
Биржевая облигация;exchange_bond;RU000A1041N7;СберИОС491;СберИОС 001Р-491R 5Г IMOEX;RUB;RU000A1041N7
Биржевая облигация;exchange_bond;RU000A1043H5;СберИОС492;СберИОС 001Р-492R 5Г GAZP;RUB;RU000A1043H5
Биржевая облигация;exchange_bond;RU000A1044W2;СберИОС497;СберИОС 001Р-497R 5Г РБЧ-М;RUB;RU000A1044W2
Биржевая облигация;exchange_bond;RU000A1044X0;СберИОС496;СберИОС 001Р-496R 5Г IMOEX;RUB;RU000A1044X0
Биржевая облигация;exchange_bond;RU000A1044Y8;СберИОС495;СберИОС 001Р-495R 5Г GAZP;RUB;RU000A1044Y8
Биржевая облигация;exchange_bond;RU000A1044V4;СберИОС498;СберИОС 001Р-498R 7Г РБЧ-М;RUB;RU000A1044V4
Биржевая облигация;exchange_bond;RU000A1045F4;СберИОС493;СберИОС 001Р-493R 5Г ТЕХ;RUB;RU000A1045F4
Биржевая облигация;exchange_bond;RU000A1047L8;СберИОС503;СберИОС 001Р-503R 5Г ТЕХ;RUB;RU000A1047L8
Биржевая облигация;exchange_bond;RU000A1047M6;СберИОС502;СберИОС 001Р-502R 5Г GAZP;RUB;RU000A1047M6
Биржевая облигация;exchange_bond;RU000A1047N4;СберИОС501;СберИОС 001Р-501R 5Г NDX;RUB;RU000A1047N4
Биржевая облигация;exchange_bond;RU000A1047P9;СберИОС500;СберИОС 001Р-500R 5Г ИФН;RUB;RU000A1047P9
Биржевая облигация;exchange_bond;RU000A1049R1;СберИОС507;СберИОС 001Р-507R 5Г СШАМ ИНД;RUB;RU000A1049R1
Биржевая облигация;exchange_bond;RU000A104A96;СберИОС504;СберИОС 001Р-504R 5Г ТЕХ;RUB;RU000A104A96
Биржевая облигация;exchange_bond;RU000A104AF5;СберИОС506;СберИОС 001Р-506R 5Г GAZP;RUB;RU000A104AF5
Биржевая облигация;exchange_bond;RU000A104AH1;СберИОС510;СберИОС 001Р-510R 5Г IMOEX;RUB;RU000A104AH1
Биржевая облигация;exchange_bond;RU000A104CS4;СберИОС513;СберИОС 001Р-513R 7Г РБЧ-М;RUB;RU000A104CS4
Биржевая облигация;exchange_bond;RU000A104CY2;СберИОС509;СберИОС 001Р-509R 5Г DEF ИЭЦ;RUB;RU000A104CY2
Биржевая облигация;exchange_bond;RU000A104CR6;СберИОС511;СберИОС 001Р-511R 5Г ТЕХ;RUB;RU000A104CR6
Биржевая облигация;exchange_bond;RU000A104CZ9;СберИОС512;СберИОС 001Р-512R 5Г SBER;RUB;RU000A104CZ9
Биржевая облигация;exchange_bond;RU000A104ES0;СберИОС514;СберИОС 001Р-514R 5Г NDX;RUB;RU000A104ES0
Биржевая облигация;exchange_bond;RU000A104FK4;СберИОС516;СберИОС 001Р-516R 5Г SBER;RUB;RU000A104FK4
Биржевая облигация;exchange_bond;RU000A104FL2;СберИОС515;СберИОС 001Р-515R 5Г ТЕХ;RUB;RU000A104FL2
Биржевая облигация;exchange_bond;RU000A104H08;СберИОС522;СберИОС 001Р-522R 5Г РФКРЗН;RUB;RU000A104H08
Биржевая облигация;exchange_bond;RU000A104JX9;СберИОС527;СберИОС 001Р-527R 5Г ТЕХ;RUB;RU000A104JX9
Биржевая облигация;exchange_bond;RU000A104JY7;СберИОС524;СберИОС 001Р-524R 5Г IMOEX;RUB;RU000A104JY7
Биржевая облигация;exchange_bond;RU000A104KK4;СберИОС525;СберИОС 001Р-525R 5Г ФНЭ;RUB;RU000A104KK4
Биржевая облигация;exchange_bond;RU000A104KL2;СберИОС526;СберИОС 001Р-526R 5Г ТЕХ;RUB;RU000A104KL2
Биржевая облигация;exchange_bond;RU000A104KX7;СберИОС523;СберИОС 001Р-523R 5Г SBER;RUB;RU000A104KX7
Биржевая облигация;exchange_bond;RU000A104KY5;СберИОС529;СберИОС 001Р-529R 5Г IMOEX;RUB;RU000A104KY5
Биржевая облигация;exchange_bond;RU000A104KZ2;СберИОС530;СберИОС 001Р-530R 5Г SBERRM;RUB;RU000A104KZ2
Биржевая облигация;exchange_bond;RU000A104KE7;СберИОС528;СберИОС 001Р-528R 5Г BSKRUS;RUB;RU000A104KE7
Биржевая облигация;exchange_bond;RU000A104Y31;СберИОС408;СберИОС 001Р-408R 5Г РБЧ;RUB;RU000A104Y31
Биржевая облигация;exchange_bond;RU000A105161;СберИОС534;СберИОС 001Р-534R 3Г НОВАТЭК;RUB;RU000A105161
Биржевая облигация;exchange_bond;RU000A105179;СберИОС533;СберИОС 001Р-533R 5Г IMOEX;RUB;RU000A105179
Биржевая облигация;exchange_bond;RU000A105401;СберИОС535;СберИОС 001Р-535R 3Г РОСНФТ;RUB;RU000A105401
Биржевая облигация;exchange_bond;RU000A1054X9;СберИОС536;СберИОС 001Р-536R 5Г IMOEX;RUB;RU000A1054X9
Биржевая облигация;exchange_bond;RU000A1057K9;СберИОС538;СберИОС 001Р-538R 3Г МАГНИТ;RUB;RU000A1057K9
Биржевая облигация;exchange_bond;RU000A1059D0;СберИОС540;СберИОС 001Р-540R 3Г ЛУКОЙЛ;RUB;RU000A1059D0
Биржевая облигация;exchange_bond;RU000A105BK0;СберИОС542;СберИОС 001Р-542R 3Г СБЕР;RUB;RU000A105BK0
Биржевая облигация;exchange_bond;RU000A105GQ6;СберИОС544;СберИОС 001Р-544R 3Г IMOEX;RUB;RU000A105GQ6
Биржевая облигация;exchange_bond;RU000A105MD2;СберИОС547;СберИОС 001Р-547R 3Г МТС;RUB;RU000A105MD2
Биржевая облигация;exchange_bond;RU000A105R96;СберИОС551;СберИОС 001Р-551R 3Г РОСН;RUB;RU000A105R96
Биржевая облигация;exchange_bond;RU000A105S87;СберИОС553;СберИОС 001Р-553R 5Г SBER;RUB;RU000A105S87
Биржевая облигация;exchange_bond;RU000A105W57;СберИОС556;СберИОС 001Р-556R 3Г НОВАТЭК;RUB;RU000A105W57
Биржевая облигация;exchange_bond;RU000A105WX9;СберИОС557;СберИОС 001Р-557R СБЕР КС;RUB;RU000A105WX9
Биржевая облигация;exchange_bond;RU000A105ZR4;СберИОС559;СберИОС 001Р-559R 3Г ЛУКОЙЛ;RUB;RU000A105ZR4
Биржевая облигация;exchange_bond;RU000A1061E4;СберИОС560;СберИОС 001Р-560R IMOEX;RUB;RU000A1061E4
Биржевая облигация;exchange_bond;RU000A1065F2;СберИОС561;СберИОС 001Р-561R 3Г IMOEX;RUB;RU000A1065F2
Биржевая облигация;exchange_bond;RU000A103YV4;Сбер Sb36R;Сбербанк ПАО 001Р-SBER36;RUB;RU000A103YV4
Биржевая облигация;exchange_bond;RU000A106AB9;СберИОС566;СберИОС 001Р-566R 3Г КС85;RUB;RU000A106AB9
Биржевая облигация;exchange_bond;RU000A106AP9;СберИОС567;СберИОС 001Р-567R 5Г AC IMOEX;RUB;RU000A106AP9
Биржевая облигация;exchange_bond;RU000A106AQ7;СберИОС568;СберИОС 001Р-568R 3Г TATN;RUB;RU000A106AQ7
Биржевая облигация;exchange_bond;RU000A106D83;СберИОС570;СберИОС 001Р-570R 3Г КС85;RUB;RU000A106D83
Биржевая облигация;exchange_bond;RU000A106EX5;СберИОС573;СберИОС 001Р-573R 3Г АФКC;RUB;RU000A106EX5
Биржевая облигация;exchange_bond;RU000A106G64;СберИОС574;СберИОС 001Р-574R 3Г КС9;RUB;RU000A106G64
Биржевая облигация;exchange_bond;RU000A106L18;СберИОС577;СберИОС 001Р-577R 5Г AC MOEXOG;RUB;RU000A106L18
Биржевая облигация;exchange_bond;RU000A106LZ5;СберИОС578;СберИОС 001Р-578R 3Г AC SBER;RUB;RU000A106LZ5
Биржевая облигация;exchange_bond;RU000A106QL4;СберИОС580;СберИОС 001Р-580R 5Г AC IMOEX;RUB;RU000A106QL4
Биржевая облигация;exchange_bond;RU000A106RY5;СберИОС581;СберИОС 001Р-581R 3Г AC ROSN;RUB;RU000A106RY5
Биржевая облигация;exchange_bond;RU000A106SD7;СберИОС582;СберИОС 001Р-582R 5Г AC IMOEX;RUB;RU000A106SD7
Биржевая облигация;exchange_bond;RU000A106TT1;СберИОС584;СберИОС 001Р-584R IMOEX КС;RUB;RU000A106TT1
Биржевая облигация;exchange_bond;RU000A106TU9;СберИОС585;СберИОС 001Р-585R IMOEX КС;RUB;RU000A106TU9
Биржевая облигация;exchange_bond;RU000A106XQ9;СберИОС586;СберИОС 001Р-586R 3Г AC MOEX;RUB;RU000A106XQ9
Биржевая облигация;exchange_bond;RU000A106XR7;СберИОС588;СберИОС 001Р-588R 5Г AC MOEXFN;RUB;RU000A106XR7
Биржевая облигация;exchange_bond;RU000A107464;СберИОС590;СберИОС 001Р-590R 5Г AC MOEXFN;RUB;RU000A107464
Биржевая облигация;exchange_bond;RU000A1074S7;СберИОС591;СберИОС 001Р-591R 5Г AC MOEXOG;RUB;RU000A1074S7
Биржевая облигация;exchange_bond;RU000A107985;СберИОС595;СберИОС 001Р-595R 5Г AC MOEXFN;RUB;RU000A107985
Биржевая облигация;exchange_bond;RU000A1079B2;СберИОС596;СберИОС 001Р-596R 18M SBER;RUB;RU000A1079B2
Биржевая облигация;exchange_bond;RU000A107DC9;СберИОС599;СберИОС 001Р-599R 5Г AC MOEXFN;RUB;RU000A107DC9
Биржевая облигация;exchange_bond;RU000A107DB1;СберИОС598;СберИОС 001Р-598R 5Г AC TATN;RUB;RU000A107DB1
Биржевая облигация;exchange_bond;RU000A107Q04;СберИОС604;СберИОС 001Р-604R 5Г AC IMOEX;RUB;RU000A107Q04
Биржевая облигация;exchange_bond;RU000A107RW7;СберИОС603;СберИОС 001Р-603R 5Г AC CHMF;RUB;RU000A107RW7
Биржевая облигация;exchange_bond;RU000A107S69;СберИОС607;СберИОС 001Р-607R 2Y PLZL;RUB;RU000A107S69
Биржевая облигация;exchange_bond;RU000A107S77;СберИОС608;СберИОС 001Р-608R 3Г IMOEX;RUB;RU000A107S77
Биржевая облигация;exchange_bond;RU000A107SR5;СберИОС605;СберИОС 001Р-605R 5Г AC LKOH;RUB;RU000A107SR5
Биржевая облигация;exchange_bond;RU000A107UR1;СберИОС609;СберИОС 001Р-609R 5Г AC TRNFP;RUB;RU000A107UR1
Биржевая облигация;exchange_bond;RU000A107W97;СберИОС610;СберИОС 001Р-610R 5Г AC MOEXMM;RUB;RU000A107W97
Биржевая облигация;exchange_bond;RU000A107Y46;СберИОС611;СберИОС 001Р-611R 2Г IMOEX;RUB;RU000A107Y46
Биржевая облигация;exchange_bond;RU000A1080T2;СберИОС614;СберИОС 001Р-614R 3Y PLZL;RUB;RU000A1080T2
Биржевая облигация;exchange_bond;RU000A1080W6;СберИОС612;СберИОС 001Р-612R 5Г AC CHMF;RUB;RU000A1080W6
Биржевая облигация;exchange_bond;RU000A108421;СберИОС616;СберИОС 001Р-616R 5Г AC RTKM;RUB;RU000A108421
Биржевая облигация;exchange_bond;RU000A1088K4;СберИОС617;СберИОС 001Р-617R 5Г AC MAGN;RUB;RU000A1088K4
Биржевая облигация;exchange_bond;RU000A1088L2;СберИОС618;СберИОС 001Р-618R 5Г AC TCSG;RUB;RU000A1088L2
Биржевая облигация;exchange_bond;RU000A108DG8;СберИОС620;СберИОС 001Р-620R 5Г AC TCSG;RUB;RU000A108DG8
Биржевая облигация;exchange_bond;RU000A108K25;СберИОС623;СберИОС 001Р-623R 5Г AC MOEXIT;RUB;RU000A108K25
Биржевая облигация;exchange_bond;RU000A108LG1;СберИОС625;СберИОС 001Р-625R 3Y СБЕР;RUB;RU000A108LG1
Биржевая облигация;exchange_bond;RU000A108Q60;СберИОС626;СберИОС 001Р-626R 5Г AC TRNFP;RUB;RU000A108Q60
Биржевая облигация;exchange_bond;RU000A108QH8;СберИОС627;СберИОС 001Р-627R 3Г TW IMOEX;RUB;RU000A108QH8
Биржевая облигация;exchange_bond;RU000A108QJ4;СберИОС628;СберИОС 001Р-628R СБЕР ББК 3Г;RUB;RU000A108QJ4
Биржевая облигация;exchange_bond;RU000A108TC3;СберИОС629;СберИОС 001Р-629R 5Г BSKRUS;RUB;RU000A108TC3
Биржевая облигация;exchange_bond;RU000A108U98;СберИОС630;СберИОС 001Р-630R 5Г AC Лукойл;RUB;RU000A108U98
Биржевая облигация;exchange_bond;RU000A108U80;СберИОС631;СберИОС 001Р-631R 5Г AC MOEXIT;RUB;RU000A108U80
Биржевая облигация;exchange_bond;RU000A108WH6;СберИОС632;СберИОС 001Р-632R 3Г TW IMOEX;RUB;RU000A108WH6
Биржевая облигация;exchange_bond;RU000A108Z02;СберИОС633;СберИОС 001Р-633R 5Г AC СБЕР;RUB;RU000A108Z02
Биржевая облигация;exchange_bond;RU000A108Z10;СберИОС634;СберИОС 001Р-634R 5Г AC MOEXIT;RUB;RU000A108Z10
Биржевая облигация;exchange_bond;RU000A1092K6;СберИОС635;СберИОС 001Р-635R 13М AC СБЕР;RUB;RU000A1092K6
Биржевая облигация;exchange_bond;RU000A1093H0;СберИОС636;СберИОС 001Р-636R 5Г AC Яндекс;RUB;RU000A1093H0
Биржевая облигация;exchange_bond;RU000A1093J6;СберИОС637;СберИОС 001Р-637R 5Г AC СБЕР;RUB;RU000A1093J6
Биржевая облигация;exchange_bond;RU000A1093K4;СберИОС638;СберИОС 001Р-638R 5Г AC MOEXFN;RUB;RU000A1093K4
Биржевая облигация;exchange_bond;RU000A1097A6;СберИОС641;СберИОС 001Р-641R 5Г AC Яндекс;RUB;RU000A1097A6
Биржевая облигация;exchange_bond;RU000A1097R0;СберИОС642;СберИОС 001Р-642R 5Г AC СБЕР;RUB;RU000A1097R0
Биржевая облигация;exchange_bond;RU000A109833;СберИОС639;СберИОС 001Р-639R 3Г TW IMOEX;RUB;RU000A109833
Биржевая облигация;exchange_bond;RU000A109841;СберИОС640;СберИОС 001Р-640R 3Y IMOEX;RUB;RU000A109841
Биржевая облигация;exchange_bond;RU000A109A34;СберИОС644;СберИОС 001Р-644R 5Г AC IMOEX;RUB;RU000A109A34
Биржевая облигация;exchange_bond;RU000A109DR3;СберИОС643;СберИОС 001Р-643R СБЕР КС;RUB;RU000A109DR3
Биржевая облигация;exchange_bond;RU000A109F39;СберИОС646;СберИОС 001Р-646R 1Г TW IMOEX;RUB;RU000A109F39
Биржевая облигация;exchange_bond;RU000A109JJ7;СберИОС647;ИОС_PRTACm_LKOH-5Y-001Р-647R;RUB;RU000A109JJ7
Биржевая облигация;exchange_bond;RU000A109JK5;СберИОС648;СберИОС 001Р-648R 5Г AC IMOEX;RUB;RU000A109JK5
Биржевая облигация;exchange_bond;RU000A109LL9;СберИОС649;СберИОС 001Р-649R 5Г AC LKOH;RUB;RU000A109LL9
Биржевая облигация;exchange_bond;RU000A109QS3;СберИОС651;СберИОС 001Р-651R ЛУКОЙЛ КС;RUB;RU000A109QS3
Биржевая облигация;exchange_bond;RU000A109TR9;СберИОС654;СберИОС 001Р-654R RUGOLD КС;RUB;RU000A109TR9
Биржевая облигация;exchange_bond;RU000A109TS7;СберИОС655;СберИОС 001Р-655R RUGOLD КС;RUB;RU000A109TS7
Биржевая облигация;exchange_bond;RU000A109YH0;СберИОС659;СберИОС 001Р-659R 3Y1M ОФЗ;RUB;RU000A109YH0
Биржевая облигация;exchange_bond;RU000A109YF4;СберИОС657;СберИОС 001Р-657R RUGOLD КС;RUB;RU000A109YF4
Биржевая облигация;exchange_bond;RU000A10A182;СберИОС660;СберИОС 001Р-660R 5Г BSKRUS;RUB;RU000A10A182
Биржевая облигация;exchange_bond;RU000A10A5J3;СберИОС663;СберИОС 001Р-663R RUGOLD КС;RUB;RU000A10A5J3
Биржевая облигация;exchange_bond;RU000A10A6N3;СберИОС662;СберИОС 001Р-662R 5Г AC IMOEX;RUB;RU000A10A6N3
Биржевая облигация;exchange_bond;RU000A10A6Y0;СберИОС665;СберИОС 001Р-665R СБЕР КС;RUB;RU000A10A6Y0
Биржевая облигация;exchange_bond;RU000A10A7N1;СберИОС666;СберИОС 001Р-666R 5Г BSKRUS;RUB;RU000A10A7N1
Биржевая облигация;exchange_bond;RU000A10AEA0;СберИОС668;СберИОС 001Р-668R 2Y ОФЗ;RUB;RU000A10AEA0
Биржевая облигация;exchange_bond;RU000A10AEC6;СберИОС667;СберИОС 001Р-667R 1Y IMOEX;RUB;RU000A10AEC6
Биржевая облигация;exchange_bond;RU000A10AMK2;СберИОС669;СберИОС 001Р-669R 5Г AC TATN;RUB;RU000A10AMK2
Биржевая облигация;exchange_bond;RU000A10AN80;СберИОС670;СберИОС 001Р-670R 5Г BSKRUS;RUB;RU000A10AN80
Биржевая облигация;exchange_bond;RU000A10AN98;СберИОС671;СберИОС 001Р-671R 5Г AC SBER;RUB;RU000A10AN98
Биржевая облигация;exchange_bond;RU000A10AND5;СберИОС672;СберИОС 001Р-672R 3Г BSKRUS;RUB;RU000A10AND5
Биржевая облигация;exchange_bond;RU000A10ANF0;СберИОС673;СберИОС 001Р-673R 5Г BSKRUS;RUB;RU000A10ANF0
Биржевая облигация;exchange_bond;RU000A10AQF3;СберИОС674;СберИОС 001Р-674R 5Г AC LKOH;RUB;RU000A10AQF3
Биржевая облигация;exchange_bond;RU000A10AQZ1;СберИОС675;СберИОС 001Р-675R 5Г BSKRUS;RUB;RU000A10AQZ1
Биржевая облигация;exchange_bond;RU000A10AR45;СберИОС676;СберИОС 001Р-676R 1Г СБЕРДИС;RUB;RU000A10AR45
Биржевая облигация;exchange_bond;RU000A10AT92;СберИОС678;СберИОС 001Р-678R 5Г BSKRUS;RUB;RU000A10AT92
Биржевая облигация;exchange_bond;RU000A10AVB2;СберИОС681;СберИОС 001Р-681R 1Г BSKRUS;RUB;RU000A10AVB2
Биржевая облигация;exchange_bond;RU000A10AVC0;СберИОС680;СберИОС 001Р-680R 1Г BSKRUS;RUB;RU000A10AVC0
Биржевая облигация;exchange_bond;RU000A10AXQ6;СберИОС682;СберИОС 001Р-682R 3Г BSKRUS;RUB;RU000A10AXQ6
Биржевая облигация;exchange_bond;RU000A10AUJ7;СберИОС679;СберИОС 001Р-679R 3Y ОФЗ;RUB;RU000A10AUJ7
Биржевая облигация;exchange_bond;RU000A10AYR2;СберИОС687;СберИОС 001Р-687R USDRUR КС;RUB;RU000A10AYR2
Биржевая облигация;exchange_bond;RU000A10AYP6;СберИОС684;СберИОС 001Р-684R AFLT КС;RUB;RU000A10AYP6
Биржевая облигация;exchange_bond;RU000A10AYZ5;СберИОС686;СберИОС 001Р-686R 5Г BSKRUS;RUB;RU000A10AYZ5
Биржевая облигация;exchange_bond;RU000A10AZU3;СберИОС689;СберИОС 001Р-689R 2Г BSKRUS;RUB;RU000A10AZU3
Биржевая облигация;exchange_bond;RU000A10B0D6;СберИОС688;СберИОС 001Р-688R 1Г СБЕРДИС;RUB;RU000A10B0D6
Биржевая облигация;exchange_bond;RU000A10B0F1;СберИОС691;СберИОС 001Р-691R 1Г BSKRUS;RUB;RU000A10B0F1
Биржевая облигация;exchange_bond;RU000A10B1T0;СберИОС693;СберИОС 001Р-693R 3Г BSKRUS;RUB;RU000A10B1T0
Биржевая облигация;exchange_bond;RU000A10B1S2;СберИОС692;СберИОС 001Р-692R 5Г BSKRUS;RUB;RU000A10B1S2
Биржевая облигация;exchange_bond;RU000A10B4N7;СберИОС695;СберИОС 001Р-695R СБЕР КС;RUB;RU000A10B4N7
Биржевая облигация;exchange_bond;RU000A10B4P2;СберИОС698;СберИОС 001Р-698R USDRUR КС;RUB;RU000A10B4P2
Биржевая облигация;exchange_bond;RU000A10B5U9;СберИОС697;СберИОС 001Р-697R 5Г BSKRUS;RUB;RU000A10B5U9
Биржевая облигация;exchange_bond;RU000A10B7B5;СберИОС699;СберИОС 001Р-699R 3Y1M ОФЗ;RUB;RU000A10B7B5
Биржевая облигация;exchange_bond;RU000A10B867;СберИОС700;СберИОС 001Р-700R 3Г BSKRUS;RUB;RU000A10B867
Биржевая облигация;exchange_bond;RU000A10B8E7;СберИОС703;СберИОС 001Р-703R 3Y1M ОФЗ;RUB;RU000A10B8E7
Биржевая облигация;exchange_bond;RU000A10B5T1;СберИОС696;СберИОС 001Р-696R 3Y1M ОФЗ;RUB;RU000A10B5T1
Биржевая облигация;exchange_bond;RU000A10BBN7;СберИОС704;СберИОС 001Р-704R 1Г BSKRUS;RUB;RU000A10BBN7
Биржевая облигация;exchange_bond;RU000A10BBQ0;СберИОС705;СберИОС 001Р-705R 5Г BSKRUS;RUB;RU000A10BBQ0
Биржевая облигация;exchange_bond;RU000A10BGB1;СберИОС706;СберИОС 001Р-706R 2Y WDC KR;RUB;RU000A10BGB1
Биржевая облигация;exchange_bond;RU000A10BJ51;СберИОС711;СберИОС 001Р-711R 5Г BSKRUS;RUB;RU000A10BJ51
Биржевая облигация;exchange_bond;RU000A10BL73;СберИОС701;СберИОС 001Р-701R 1Y IMOEX;RUB;RU000A10BL73
Биржевая облигация;exchange_bond;RU000A10BM98;СберИОС723;СберИОС 001Р-723R 3Г BSKRUS;RUB;RU000A10BM98
Биржевая облигация;exchange_bond;RU000A10BPJ5;СберИОС716;СберИОС 001Р-716R 96 PRT IMOEX;RUB;RU000A10BPJ5
Биржевая облигация;exchange_bond;RU000A10BQ37;СберИОС727;СберИОС 001Р-727R 5Г BSKRUS;RUB;RU000A10BQ37
Биржевая облигация;exchange_bond;RU000A10BSR2;СберИОС729;СберИОС 001Р-729R 1Г СБЕРДИС;RUB;RU000A10BSR2
Биржевая облигация;exchange_bond;RU000A10BT83;СберИОС717;СберИОС 001Р-717R 1Y IMOEX;RUB;RU000A10BT83
Биржевая облигация;exchange_bond;RU000A10BVZ9;СберИОС733;СберИОС 001Р-733R RUGOLD КС;RUB;RU000A10BVZ9
Биржевая облигация;exchange_bond;RU000A10BW05;СберИОС732;СберИОС 001Р-732R 5Г AC TATN;RUB;RU000A10BW05
Биржевая облигация;exchange_bond;RU000A10BXN1;СберИОС735;СберИОС 001Р-735R 3Y1M ОФЗ;RUB;RU000A10BXN1
Биржевая облигация;exchange_bond;RU000A10BXP6;СберИОС736;СберИОС 001Р-736R 5Г BSKRUS;RUB;RU000A10BXP6
Фьючерс;futures;SRU5;SBRF-9.25;Фьючерсный контракт SBRF-9.25;;
Фьючерс;futures;SBERF;SBERF;SBERF;;
Фьючерс;futures;SPU5;SBPR-9.25;Фьючерсный контракт SBPR-9.25;;
Депозитарная расписка;depositary_receipt;SBER-ME;SBER-адр;АДР Сбербанк России ORD SHS;RUB;US80585Y3080
